episode,steps,totalReward,epsilon,completed,died
1,120,19.799999999999997,1.0,True,False
2,172,-2.7100000000000013,0.9999472222222222,False,True
3,203,-3.020000000000001,0.9998944444444444,False,True
4,234,-3.3299999999999943,0.9998416666666666,False,True
5,188,-2.8700000000000014,0.9997888888888888,False,True
6,48,-1.4700000000000002,0.9997361111111112,False,True
7,122,-2.210000000000001,0.9996833333333334,False,True
8,39,-1.3800000000000001,0.9996305555555556,False,True
9,82,-1.8100000000000005,0.9995777777777778,False,True
10,195,-2.9400000000000013,0.999525,False,True
11,135,19.65,0.9994722222222222,True,False
12,80,-1.7900000000000005,0.9994194444444444,False,True
13,120,-2.190000000000001,0.9993666666666666,False,True
14,238,-3.3699999999999934,0.9993138888888888,False,True
15,400,-3.9999999999999587,0.9992611111111112,False,False
16,400,-3.9999999999999587,0.9992083333333334,False,False
17,59,-1.5800000000000003,0.9991555555555556,False,True
18,400,-3.9999999999999587,0.9991027777777778,False,False
19,172,-2.7100000000000013,0.99905,False,True
20,34,-1.33,0.9989972222222222,False,True
21,400,-3.9999999999999587,0.9989444444444444,False,False
22,84,20.159999999999997,0.9988916666666666,True,False
23,132,-2.310000000000001,0.9988388888888889,False,True
24,67,-1.6600000000000004,0.9987861111111112,False,True
25,209,18.91,0.9987333333333334,True,False
26,110,-2.0900000000000007,0.9986805555555556,False,True
27,400,-3.9999999999999587,0.9986277777777778,False,False
28,157,-2.5600000000000014,0.998575,False,True
29,250,18.500000000000007,0.9985222222222222,True,False
30,236,18.640000000000004,0.9984694444444444,True,False
31,147,-2.460000000000001,0.9984166666666666,False,True
32,239,-3.3799999999999932,0.9983638888888889,False,True
33,90,-1.8900000000000006,0.9983111111111111,False,True
34,400,-3.9999999999999587,0.9982583333333334,False,False
35,282,-3.809999999999984,0.9982055555555556,False,True
36,258,-3.569999999999989,0.9981527777777778,False,True
37,302,-4.00999999999998,0.9981,False,True
38,20,-1.19,0.9980472222222222,False,True
39,163,-2.620000000000001,0.9979944444444444,False,True
40,101,-2.000000000000001,0.9979416666666666,False,True
41,16,-1.15,0.9978888888888889,False,True
42,157,-2.5600000000000014,0.9978361111111111,False,True
43,400,-3.9999999999999587,0.9977833333333334,False,False
44,60,-1.5900000000000003,0.9977305555555556,False,True
45,38,-1.37,0.9976777777777778,False,True
46,33,-1.32,0.997625,False,True
47,347,-4.459999999999971,0.9975722222222222,False,True
48,330,-4.289999999999974,0.9975194444444444,False,True
49,312,-4.109999999999978,0.9974666666666666,False,True
50,173,-2.7200000000000015,0.9974138888888889,False,True
51,34,-1.33,0.9973611111111111,False,True
52,191,-2.9000000000000012,0.9973083333333334,False,True
53,211,-3.099999999999999,0.9972555555555556,False,True
54,23,-1.22,0.9972027777777778,False,True
55,219,18.810000000000002,0.99715,True,False
56,400,-3.9999999999999587,0.9970972222222222,False,False
57,192,19.08,0.9970444444444444,True,False
58,398,-4.96999999999996,0.9969916666666667,False,True
59,400,-3.9999999999999587,0.9969388888888889,False,False
60,328,-4.269999999999975,0.9968861111111111,False,True
61,182,-2.8100000000000014,0.9968333333333333,False,True
62,400,-3.9999999999999587,0.9967805555555556,False,False
63,73,-1.7200000000000004,0.9967277777777778,False,True
64,127,-2.2600000000000007,0.996675,False,True
65,400,-3.9999999999999587,0.9966222222222222,False,False
66,51,-1.5000000000000002,0.9965694444444444,False,True
67,123,-2.2200000000000006,0.9965166666666667,False,True
68,57,-1.5600000000000003,0.9964638888888889,False,True
69,400,-3.9999999999999587,0.9964111111111111,False,False
70,41,-1.4000000000000001,0.9963583333333333,False,True
71,44,-1.4300000000000002,0.9963055555555556,False,True
72,95,-1.9400000000000006,0.9962527777777778,False,True
73,183,-2.820000000000001,0.9962,False,True
74,321,-4.199999999999976,0.9961472222222222,False,True
75,195,-2.9400000000000013,0.9960944444444444,False,True
76,166,-2.6500000000000012,0.9960416666666667,False,True
77,243,-3.4199999999999924,0.9959888888888889,False,True
78,400,-3.9999999999999587,0.9959361111111111,False,False
79,400,-3.9999999999999587,0.9958833333333333,False,False
80,167,-2.660000000000001,0.9958305555555556,False,True
81,41,-1.4000000000000001,0.9957777777777778,False,True
82,152,-2.510000000000001,0.995725,False,True
83,251,-3.4999999999999907,0.9956722222222222,False,True
84,90,-1.8900000000000006,0.9956194444444444,False,True
85,31,-1.3,0.9955666666666667,False,True
86,97,20.029999999999998,0.9955138888888889,True,False
87,239,-3.3799999999999932,0.9954611111111111,False,True
88,241,-3.399999999999993,0.9954083333333333,False,True
89,400,-3.9999999999999587,0.9953555555555555,False,False
90,93,-1.9200000000000006,0.9953027777777778,False,True
91,42,-1.4100000000000001,0.99525,False,True
92,300,-3.9899999999999802,0.9951972222222222,False,True
93,32,-1.31,0.9951444444444445,False,True
94,60,-1.5900000000000003,0.9950916666666667,False,True
95,71,-1.7000000000000004,0.9950388888888889,False,True
96,206,-3.0500000000000003,0.9949861111111111,False,True
97,258,-3.569999999999989,0.9949333333333333,False,True
98,184,-2.8300000000000014,0.9948805555555555,False,True
99,343,-4.4199999999999715,0.9948277777777778,False,True
100,12,-1.1099999999999999,0.994775,False,True
101,176,-2.7500000000000013,0.9947222222222222,False,True
102,67,-1.6600000000000004,0.9946694444444445,False,True
103,92,20.08,0.9946166666666667,True,False
104,98,-1.9700000000000006,0.9945638888888889,False,True
105,87,20.13,0.9945111111111111,True,False
106,282,-3.809999999999984,0.9944583333333333,False,True
107,164,-2.6300000000000012,0.9944055555555555,False,True
108,170,-2.6900000000000013,0.9943527777777778,False,True
109,54,-1.5300000000000002,0.9943,False,True
110,194,-2.9300000000000015,0.9942472222222222,False,True
111,245,-3.439999999999992,0.9941944444444445,False,True
112,341,-4.399999999999972,0.9941416666666667,False,True
113,337,17.630000000000027,0.9940888888888889,True,False
114,172,19.279999999999998,0.9940361111111111,True,False
115,46,-1.4500000000000002,0.9939833333333333,False,True
116,64,-1.6300000000000003,0.9939305555555555,False,True
117,242,-3.4099999999999926,0.9938777777777777,False,True
118,169,-2.6800000000000015,0.993825,False,True
119,400,-3.9999999999999587,0.9937722222222222,False,False
120,206,-3.0500000000000003,0.9937194444444445,False,True
121,27,-1.26,0.9936666666666667,False,True
122,110,-2.0900000000000007,0.9936138888888889,False,True
123,150,19.499999999999996,0.9935611111111111,True,False
124,181,-2.8000000000000016,0.9935083333333333,False,True
125,176,-2.7500000000000013,0.9934555555555555,False,True
126,263,-3.619999999999988,0.9934027777777777,False,True
127,117,-2.160000000000001,0.99335,False,True
128,242,-3.4099999999999926,0.9932972222222223,False,True
129,158,-2.570000000000001,0.9932444444444445,False,True
130,400,-3.9999999999999587,0.9931916666666667,False,False
131,400,-3.9999999999999587,0.9931388888888889,False,False
132,388,-4.869999999999962,0.9930861111111111,False,True
133,63,-1.6200000000000003,0.9930333333333333,False,True
134,39,-1.3800000000000001,0.9929805555555555,False,True
135,147,19.529999999999998,0.9929277777777777,True,False
136,65,-1.6400000000000003,0.992875,False,True
137,99,-1.9800000000000006,0.9928222222222223,False,True
138,357,-4.5599999999999685,0.9927694444444445,False,True
139,110,-2.0900000000000007,0.9927166666666667,False,True
140,400,-3.9999999999999587,0.9926638888888889,False,False
141,21,-1.2,0.9926111111111111,False,True
142,105,-2.040000000000001,0.9925583333333333,False,True
143,400,-3.9999999999999587,0.9925055555555555,False,False
144,7,-1.06,0.9924527777777777,False,True
145,91,-1.9000000000000006,0.9924,False,True
146,140,19.599999999999998,0.9923472222222223,True,False
147,400,-3.9999999999999587,0.9922944444444445,False,False
148,48,-1.4700000000000002,0.9922416666666667,False,True
149,221,-3.199999999999997,0.9921888888888889,False,True
150,37,-1.36,0.9921361111111111,False,True
151,200,-2.9900000000000015,0.9920833333333333,False,True
152,30,-1.29,0.9920305555555555,False,True
153,61,-1.6000000000000003,0.9919777777777777,False,True
154,100,19.999999999999996,0.991925,True,False
155,70,-1.6900000000000004,0.9918722222222223,False,True
156,400,-3.9999999999999587,0.9918194444444445,False,False
157,94,-1.9300000000000006,0.9917666666666667,False,True
158,71,-1.7000000000000004,0.9917138888888889,False,True
159,42,-1.4100000000000001,0.9916611111111111,False,True
160,74,-1.7300000000000004,0.9916083333333333,False,True
161,32,-1.31,0.9915555555555555,False,True
162,58,20.419999999999998,0.9915027777777777,True,False
163,101,-2.000000000000001,0.99145,False,True
164,103,-2.0200000000000005,0.9913972222222223,False,True
165,400,-3.9999999999999587,0.9913444444444445,False,False
166,31,-1.3,0.9912916666666667,False,True
167,18,-1.17,0.9912388888888889,False,True
168,137,19.63,0.9911861111111111,True,False
169,67,-1.6600000000000004,0.9911333333333333,False,True
170,73,-1.7200000000000004,0.9910805555555555,False,True
171,13,-1.1199999999999999,0.9910277777777777,False,True
172,25,-1.24,0.990975,False,True
173,111,-2.1000000000000005,0.9909222222222223,False,True
174,35,-1.34,0.9908694444444445,False,True
175,400,-3.9999999999999587,0.9908166666666667,False,False
176,49,-1.4800000000000002,0.9907638888888889,False,True
177,182,-2.8100000000000014,0.9907111111111111,False,True
178,135,19.65,0.9906583333333333,True,False
